,AptName,EntrezGeneID,EntrezGeneSymbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,plasma_membrane_associated,in_tissue_atlas,log.adj.P.Val,myeloid_plasma,myeloid_soluble,liver
56,ADAM17.8959.61,6868,ADAM17,0.0445551905004988,6.06967673669263,0.16475299959282003,0.8734135693799259,0.9333070521121549,-6.87034452184722,False,True,0.029975452609624424,False,False,False
57,ADAM19.8948.13,8728,ADAM19,-0.137072351501902,4.66859573322845,-0.595950835164306,0.5684379908236751,0.732093372965575,-6.83443556945158,False,True,0.13543352443670578,False,False,False
58,ADAM22.7933.75,53616,ADAM22,-1.2300757931783002,7.179884148352981,-4.5611212755083494,0.002079133134972,0.0458562304429557,-1.18479898809567,False,True,1.3386016488016657,False,False,False
59,ADAM23.7049.2,8745,ADAM23,-1.43364165403798,5.9871984759379195,-6.44027802151593,0.000244238824842982,0.0166577957929141,0.928670333043307,False,True,1.7783824662129206,False,False,False
60,ADAM29.13549.15,11086,ADAM29,0.373360325628552,6.16404233789806,1.5797321061421998,0.154593895598303,0.349264941279699,-5.666868718216491,False,True,0.4568450060397547,False,False,False
61,ADAM30.8520.8,11085,ADAM30,0.100503170623197,4.3285350718207,0.562584369327467,0.589838502655854,0.7495606136445729,-6.895435665086691,False,True,0.12519324192580467,False,False,False
62,ADAM32.7827.20,203102,ADAM32,-0.1178412676506,1.7671039108251203,-0.7180520447000709,0.494093253383073,0.671247936033702,-6.96621288586118,False,True,0.1731170366675122,False,False,False
63,ADAM7.10753.31,8756,ADAM7,0.372975171779752,6.1332830417856,1.05490640595604,0.32368177601724896,0.525257392392129,-6.313149636152691,False,True,0.2796278266849461,False,False,False
64,ADAM9.3795.6,8754,ADAM9,0.6051804209219781,6.53807978568205,2.82434045855841,0.0234060995334486,0.128980215930221,-3.78852923570747,False,True,0.889476900330721,False,False,False
65,ADAMDEC1.9115.78,27299,ADAMDEC1,0.9633361752327829,7.28597162055745,3.3480987536671902,0.0108051826347276,0.09211809688229701,-2.90116340677375,False,True,1.035655042940269,False,False,False
66,ADAMTS1.3174.2,9510,ADAMTS1,1.04946865555068,5.051195193928129,3.6459920902006298,0.007068339337546841,0.0774510469497971,-2.71213253122859,True,True,1.1109727072598872,False,False,False
67,ADAMTS13.3175.51,11093,ADAMTS13,-1.36687675200828,9.40607952018474,-4.37100592537246,0.0026537179371135,0.0508659596631934,-1.34698056893068,False,True,1.2935727574672686,False,True,True
68,ADAMTS15.4533.76,170689,ADAMTS15,0.5970447515694001,5.64590673676609,2.7166613696683104,0.0275326333923393,0.139022073760031,-4.0601450223188005,False,True,0.8569162375080019,False,False,False
69,ADAMTS3.8845.2,9508,ADAMTS3,0.147853165176876,5.92931845521914,0.71764673479893,0.494329353998121,0.671340833237063,-6.625760454220999,False,True,0.17305693674147127,False,False,False
70,ADAMTS5.3168.8,11096,ADAMTS5,0.49402266485978497,4.52278373048088,2.61959947495954,0.0318965371225568,0.14882345702611902,-4.3140209181634805,False,True,0.8273286114371597,False,False,False
71,ADAMTS6.6441.62,11174,ADAMTS6,0.28229451781238696,6.3081384355312595,1.7349471214412702,0.12274269493359599,0.30578460685945,-5.43132736346787,False,True,0.5145843806773349,False,False,False
72,ADAMTSL1.16890.37,92949,ADAMTSL1,-1.10830518381278,7.293314982348349,-4.704795803062259,0.00173512726419252,0.0424336667532617,-0.995929293571664,False,True,1.3722894386104025,False,False,False
73,ADAMTSL2.6379.62,9719,ADAMTSL2,0.574027536466853,5.37746248732669,2.9021036568864704,0.0208294095715069,0.122508648422227,-3.795567042367,False,True,0.9118332514670215,False,False,False
